-1,-1,0,0,0
1,31,1,1,1
2,30,1,1,1
1,32,1,1,1
1,33,1,1,1
1,34,1,1,1
2,34,1,1,1
1,30,1,1,1
4,30,1,1,1
4,31,1,1,1
4,32,1,1,1
4,33,1,1,1
4,34,1,1,1
5,32,1,1,1
6,30,1,1,1
6,31,1,1,1
6,32,1,1,1
6,33,1,1,1
6,34,1,1,1
8,34,1,1,1
8,33,1,1,1
8,32,1,1,1
8,31,1,1,1
8,30,1,1,1
9,30,1,1,1
10,30,1,1,1
10,31,1,1,1
10,32,1,1,1
10,33,1,1,1
10,34,1,1,1
9,32,1,1,1
12,30,1,1,1
12,31,1,1,1
12,32,1,1,1
12,33,1,1,1
12,34,1,1,1
13,30,1,1,1
14,30,1,1,1
14,31,1,1,1
14,32,1,1,1
13,32,1,1,1
13,33,1,1,1
14,34,1,1,1
16,30,1,1,1
17,30,1,1,1
18,30,1,1,1
17,31,1,1,1
17,32,1,1,1
17,33,1,1,1
17,34,1,1,1
2,1,1,1,1
2,2,1,1,1
2,3,1,1,1
2,4,1,1,1
2,5,1,1,1
2,6,1,1,1
2,7,1,1,1
2,8,1,1,1
2,9,1,1,1
2,10,1,1,1
2,11,1,1,1
2,12,1,1,1
2,13,1,1,1
2,14,1,1,1
2,15,1,1,1
2,16,1,1,1
2,17,1,1,1
2,18,1,1,1
2,19,1,1,1
2,25,1,1,1
2,26,1,1,1
2,27,1,1,1
2,24,1,1,1
2,23,1,1,1
2,22,1,1,1
2,21,1,1,1
2,20,1,1,1
3,22,1,0.5,0
4,21,1,0.5,0
5,20,1,0.5,0
6,19,1,0.5,0
1,1,1,1,1
1,3,1,1,1
1,5,1,1,1
1,7,1,1,1
1,17,1,1,1
1,19,1,1,1
1,21,1,1,1
1,25,1,1,1
1,27,1,1,1
3,27,1,1,1
4,27,1,1,1
5,27,1,1,1
6,27,1,1,1
7,27,1,1,1
8,27,1,1,1
9,27,1,1,1
10,27,1,1,1
11,27,1,1,1
12,27,1,1,1
13,27,1,1,1
14,27,1,1,1
15,27,1,1,1
16,27,1,1,1
19,27,1,1,1
20,27,1,1,1
21,27,1,1,1
22,27,1,1,1
23,27,1,1,1
24,27,1,1,1
25,27,1,1,1
26,27,1,1,1
27,27,1,1,1
28,27,1,1,1
29,27,1,1,1
30,27,1,1,1
18,27,1,1,1
17,27,1,1,1
1,9,1,1,1
1,11,1,1,1
1,13,1,1,1
1,15,1,1,1
1,23,1,1,1
3,28,1,1,1
7,28,1,1,1
11,28,1,1,1
15,28,1,1,1
19,28,1,1,1
23,28,1,1,1
27,28,1,1,1
7,18,1,0,0
8,19,1,0.5,0
8,20,1,0.5,0
9,21,1,0.5,0
9,22,1,0.5,0
10,23,1,0.5,0
10,24,1,0.5,0
11,25,1,0,0
12,24,1,0.5,0
12,23,1,0.5,0
12,22,1,0.5,0
12,21,1,0.5,0
13,20,1,0.5,0
13,19,1,0.5,0
13,18,1,0.5,0
13,17,1,0.5,0
14,16,1,0.5,0
14,15,1,0.5,0
14,14,1,0.5,0
14,13,1,0.5,0
15,12,1,0,0
16,11,1,0.5,0
18,10,1,0.5,0
19,9,1,0,0
17,10,1,0.5,0
20,10,1,0.5,0
20,11,1,0.5,0
21,12,1,0.5,0
21,13,1,0.5,0
22,14,1,0.5,0
22,15,1,0.5,0
23,16,1,0,0
24,15,1,0.5,0
26,14,1,0.5,0
25,14,1,0.5,0
27,13,1,0,0
28,12,1,0.5,0
29,11,1,0.5,0
30,11,1,0.5,0
